Shoulder W,Shoulder X,Shoulder Y,Shoulder Z,Thorax W,Thorax X,Thorax Y,Thorax Z
0.531724,0.010954,-0.839214,0.113443,-0.674298,0.085217,0.730083,0.070984
0.530281,0.011375,-0.84001,0.114264,-0.674497,0.085319,0.729881,0.071047
0.528968,0.011528,-0.840705,0.115215,-0.674705,0.085422,0.729672,0.071105
0.527808,0.011492,-0.841279,0.116349,-0.674875,0.085533,0.729495,0.071164
0.526706,0.011427,-0.8418,0.117572,-0.674997,0.085636,0.729367,0.071202
0.525601,0.011423,-0.842321,0.118776,-0.675108,0.085689,0.729259,0.071194
0.524544,0.011488,-0.842825,0.119861,-0.675239,0.085717,0.729137,0.071166
0.523578,0.011499,-0.843285,0.120848,-0.675392,0.085807,0.728983,0.071179
0.522554,0.011204,-0.843764,0.121961,-0.67561,0.085997,0.72875,0.071267
0.521191,0.010451,-0.844414,0.123356,-0.675956,0.086265,0.728382,0.071417
0.519413,0.00947,-0.84532,0.124715,-0.676336,0.086505,0.727983,0.071605
-0.517449,-0.008481,0.846398,-0.125636,-0.676463,0.086532,0.727835,0.071878
-0.515484,-0.007337,0.847528,-0.126173,-0.676242,0.086301,0.728026,0.0723
-0.51346,-0.006175,0.848744,-0.126311,-0.676042,0.086077,0.72819,0.072781
-0.511213,-0.005445,0.850178,-0.125812,-0.67619,0.086122,0.728006,0.073195
-0.508875,-0.004772,0.851682,-0.125141,-0.676525,0.086381,0.727626,0.07357
-0.506911,-0.003088,0.852825,-0.125387,-0.67677,0.086672,0.727324,0.073962
-0.50536,-0.000423,0.853555,-0.126711,-0.676903,0.086906,0.727136,0.07432
-0.503908,0.002214,0.854171,-0.128311,-0.677037,0.08707,0.726966,0.07456
-0.502643,0.00428,0.854708,-0.129637,-0.677206,0.087202,0.726779,0.074696
-0.501933,0.005696,0.854985,-0.130503,-0.677352,0.087436,0.726602,0.074833
-0.501803,0.006438,0.854997,-0.130887,-0.677404,0.087855,0.726479,0.075054
-0.501692,0.006642,0.855032,-0.13108,-0.6774,0.08795,0.726447,0.075297
-0.501067,0.006508,0.855342,-0.131453,-0.677537,0.086484,0.726489,0.075347
-0.499931,0.006137,0.8559,-0.13216,-0.677858,0.083408,0.726573,0.075125
-0.498522,0.005582,0.856565,-0.133195,-0.678028,0.080819,0.72673,0.074902
-0.497357,0.004818,0.85708,-0.134264,-0.677901,0.07996,0.726949,0.074853
-0.497004,0.00384,0.857176,-0.134986,-0.677749,0.080127,0.727072,0.074855
-0.497427,0.002869,0.856878,-0.135342,-0.677748,0.080486,0.727038,0.074799
-0.498215,0.00218,0.856394,-0.135523,-0.677748,0.080704,0.727024,0.074711
-0.49906,0.001853,0.855887,-0.135623,-0.67763,0.080771,0.727134,0.074626
-0.499818,0.001774,0.855444,-0.135623,-0.677486,0.080761,0.727281,0.07452
-0.500468,0.001759,0.855093,-0.135441,-0.677413,0.080656,0.727377,0.074354
-0.501089,0.001674,0.854803,-0.134976,-0.677429,0.080425,0.72741,0.074141
-0.501927,0.001469,0.854448,-0.134111,-0.677443,0.080362,0.727421,0.073965
-0.503246,0.001257,0.85387,-0.132846,-0.67721,0.081408,0.727519,0.074001
-0.504819,0.001477,0.853128,-0.131639,-0.676576,0.084142,0.727763,0.074339
-0.506012,0.002508,0.852515,-0.131013,-0.6759,0.08706,0.728008,0.074724
-0.506431,0.003951,0.852309,-0.130696,-0.675635,0.088271,0.728097,0.074842
-0.506327,0.004932,0.852496,-0.129841,-0.675699,0.088096,0.728068,0.074749
-0.506462,0.005198,0.852666,-0.128178,-0.675817,0.087744,0.728011,0.074654
-0.507204,0.0053,0.852502,-0.126315,-0.675911,0.087629,0.727944,0.074592
-0.508212,0.005637,0.852144,-0.124656,-0.676001,0.087673,0.727863,0.074502
-0.509015,0.006116,0.851903,-0.122993,-0.67606,0.087744,0.727816,0.074351
-0.50939,0.006611,0.851948,-0.121091,-0.676013,0.087759,0.727876,0.074164
-0.509408,0.007153,0.852235,-0.118944,-0.675894,0.087733,0.728009,0.073976
-0.509278,0.007766,0.852624,-0.116655,-0.675836,0.087723,0.728083,0.073799
-0.509131,0.008259,0.85303,-0.114268,-0.675863,0.087734,0.728073,0.073637
-0.508948,0.008265,0.853464,-0.111817,-0.675898,0.087727,0.728056,0.073492
-0.508643,0.00762,0.853958,-0.109454,-0.675896,0.08769,0.728075,0.073362
-0.508235,0.006715,0.854477,-0.10734,-0.675872,0.087651,0.728114,0.073244
-0.507942,0.006192,0.854879,-0.105542,-0.675862,0.087644,0.728137,0.073109
-0.507977,0.006201,0.85505,-0.103974,-0.675959,0.087727,0.72806,0.072884
-0.508322,0.006394,0.855029,-0.102438,-0.676317,0.088002,0.727732,0.072499
-0.508868,0.006538,0.854888,-0.100885,-0.676905,0.088429,0.72718,0.072031
-0.509609,0.006633,0.854623,-0.099369,-0.677403,0.088774,0.72671,0.071673
-0.510654,0.00657,0.854185,-0.097758,-0.677589,0.088915,0.726539,0.071475
-0.511926,0.006189,0.853641,-0.095865,-0.67754,0.088925,0.726595,0.071352
-0.512991,0.005675,0.853234,-0.093806,-0.677431,0.088931,0.726707,0.07124
-0.513612,0.005427,0.853077,-0.091831,-0.677387,0.089014,0.726749,0.071126
-0.514054,0.005623,0.853003,-0.090019,-0.677422,0.089135,0.72671,0.071044
-0.514699,0.006166,0.852779,-0.088399,-0.677475,0.089216,0.726652,0.071027
-0.515767,0.006923,0.852266,-0.087064,-0.677505,0.089261,0.726617,0.071043
-0.517229,0.007881,0.851468,-0.086106,-0.677497,0.089311,0.726619,0.071028
-0.518812,0.009065,0.850551,-0.085521,-0.677466,0.089373,0.726648,0.070951
-0.52016,0.010367,0.849753,-0.08512,-0.677443,0.089443,0.726674,0.070827
-0.521087,0.011557,0.849225,-0.084566,-0.677471,0.089543,0.726648,0.070698
-0.521699,0.012428,0.848933,-0.083597,-0.677568,0.089689,0.726545,0.070638
-0.522313,0.012907,0.848679,-0.08226,-0.677586,0.089797,0.726505,0.070743
-0.523237,0.013132,0.848235,-0.080916,-0.677278,0.089646,0.726785,0.071004
