Sample #,Shoulder W,Shoulder X,Shoulder Y,Shoulder Z,Thorax W,Thorax X,Thorax Y,Thorax Z
1768,0.791454,-0.064642,-0.574175,0.199362,-0.695866,0.075996,0.710917,0.067755
1769,0.793833,-0.063226,-0.571092,0.199212,-0.695873,0.075976,0.710918,0.067705
1770,0.796043,-0.063075,-0.567607,0.200397,-0.695874,0.075967,0.710921,0.067676
1771,0.798078,-0.06348,-0.564081,0.202125,-0.695901,0.075967,0.710892,0.067707
1772,0.799959,-0.063645,-0.560851,0.203619,-0.695972,0.075979,0.710814,0.067775
1773,0.801891,-0.063494,-0.557617,0.204944,-0.696072,0.076013,0.710708,0.067823
1774,0.804067,-0.063166,-0.554042,0.206211,-0.696166,0.076088,0.710607,0.067834
1775,0.806247,-0.062885,-0.550395,0.207549,-0.696233,0.076212,0.710528,0.067836
1776,0.80799,-0.062915,-0.547192,0.209227,-0.696292,0.076358,0.710453,0.06785
1777,0.809287,-0.063277,-0.544451,0.211243,-0.696374,0.076485,0.710357,0.067862
1778,0.810509,-0.063807,-0.541819,0.213155,-0.69648,0.076577,0.710245,0.067853
1779,0.811876,-0.064286,-0.539126,0.214633,-0.696577,0.076652,0.710144,0.067824
1780,0.813378,-0.064391,-0.536432,0.215663,-0.696661,0.076731,0.710057,0.067783
1781,0.814949,-0.064022,-0.533776,0.216429,-0.696747,0.076813,0.709968,0.06774
1782,0.816521,-0.063536,-0.531121,0.217181,-0.696832,0.076872,0.709882,0.067706
1783,0.818122,-0.063256,-0.528418,0.217831,-0.696906,0.076899,0.70981,0.067666
1784,0.819756,-0.063133,-0.525804,0.218046,-0.69697,0.076901,0.709752,0.067615
1785,0.82128,-0.063075,-0.523518,0.217829,-0.697,0.076849,0.70973,0.067595
1786,0.822782,-0.06299,-0.521137,0.217895,-0.696907,0.076667,0.709833,0.067671
1787,0.82451,-0.062692,-0.517984,0.218965,-0.696608,0.0764,0.710134,0.067899
1788,0.82634,-0.06224,-0.514407,0.220621,-0.696194,0.076383,0.710505,0.068285
1789,0.828076,-0.061859,-0.511048,0.222019,-0.695842,0.076787,0.710764,0.068719
1790,0.829829,-0.061598,-0.507801,0.222996,-0.695628,0.077237,0.710897,0.069006
1791,0.831772,-0.061455,-0.504295,0.223752,-0.695568,0.077435,0.71093,0.06905
1792,0.833907,-0.061586,-0.500473,0.224351,-0.695634,0.077497,0.710869,0.068941
1793,0.836043,-0.062086,-0.496615,0.224833,-0.695736,0.077569,0.710776,0.068791
1794,0.837917,-0.062709,-0.493213,0.225174,-0.695807,0.077624,0.710714,0.068643
1795,0.839385,-0.063089,-0.490625,0.225257,-0.695887,0.077573,0.710654,0.068516
1796,0.840468,-0.063134,-0.488824,0.225122,-0.696041,0.077454,0.710519,0.068484
1797,0.841205,-0.063024,-0.487669,0.224902,-0.696186,0.077424,0.710363,0.068665
1798,0.841596,-0.062892,-0.487099,0.22471,-0.696068,0.077615,0.710414,0.069118
1799,0.841645,-0.062725,-0.487073,0.224634,-0.695649,0.077968,0.710726,0.069727
1800,0.84137,-0.062486,-0.487541,0.224714,-0.695432,0.078184,0.710874,0.070147
1801,0.840824,-0.062192,-0.488407,0.224956,-0.69588,0.078063,0.710451,0.070119
1802,0.84008,-0.061895,-0.48956,0.225314,-0.696687,0.077794,0.709719,0.06982
1803,0.839227,-0.061617,-0.490885,0.225686,-0.697214,0.077673,0.709237,0.069585
1804,0.838371,-0.06133,-0.492238,0.225999,-0.69732,0.07773,0.709136,0.069486
1805,0.837582,-0.060994,-0.493513,0.226232,-0.697246,0.077811,0.709204,0.069443
1806,0.836887,-0.060574,-0.494645,0.226446,-0.697142,0.077835,0.709306,0.069423
1807,0.836308,-0.060083,-0.495548,0.22674,-0.697014,0.077821,0.709433,0.069425
1808,0.835876,-0.05963,-0.496162,0.227111,-0.696863,0.077803,0.709583,0.069427
1809,0.835607,-0.059325,-0.496484,0.227478,-0.69671,0.077811,0.709736,0.069398
1810,0.835494,-0.05919,-0.496539,0.227807,-0.69658,0.077856,0.709862,0.069352
1811,0.835502,-0.059187,-0.496398,0.228082,-0.696508,0.077912,0.70993,0.069327
1812,0.835563,-0.059258,-0.496193,0.228288,-0.696488,0.077948,0.709946,0.069323
1813,0.835597,-0.059357,-0.496082,0.228381,-0.696479,0.077952,0.709954,0.069321
1814,0.835573,-0.059457,-0.496126,0.228344,-0.696434,0.077941,0.709999,0.069325
